구분,모집시작,모집마감,체험 대상,창의적 체험활동 제목,창의적 체험활동 장소,주소
19458,,,중학교,역사의 발자취를 찾아서,동주대 박물관,부산 사하구 괴정3동 동주대학산15-1
19459,,,"중학교,초등학교","춘설헌, 봄 눈 속에 피어난 찻잎",춘설헌 및 의재 문화 유적지,광주 동구 운림동산 151
19460,,,"고등학교,중학교","○, ×퀴즈로 알아보는 하멜표류기 13년 20일",헤멜기념비(전시관),제주 서귀포시 안덕면 사계리181-1
19461,,,초등학교,꿈꾸는 아이들의 미술관 여행(특수학급 청소년 문화체험 교실),광주시립미술관 어린이 창작교실,광주 북구 운암동하서로 52번지
19462,,,"고등학교,중학교",한국해양대학교 해양박물관 탐방,한국해양대학교 해양박물관,부산 영도구 동삼2동749-8
19463,,,초등학교,금계일기를 통해 본 임진왜란,국립진주박물관,경남 진주시 남성동169-17 국립진주박물관
19464,,,초등학교,남광주 시장은 왜 해산물이 유명할까,남광주시장,광주 동구 학동55-57
19465,,,"고등학교,초등학교,중학교",STATTY NIGHT,충남과학고등학교 천문대 슬라이딩돔,충남 공주시 반포면 마암리249
19466,,,초등학교,"광주의 명소, 우다방을 찾아서",광주우체국,광주 동구 충장로2가 광주우체국충장로 43
19467,,,"중학교,유치원,고등학교,초등학교",중외공원 둘러보기,중외공원,광주 북구 운암2동164
19468,,,"고등학교,초등학교,중학교",미술관 감상교육,조선대학교 내 미술대학 2층,광주 동구 서석동 조선대학교미술관
19469,,,"고등학교,초등학교,중학교",한라산 정상에 서다,한라산 국립공원 등산로,제주 제주시 해안동산 220 - 1
19470,,,중학교,올레길에서 만나는 수학,올레 8코스 중문해수욕장 주변,제주 서귀포시 동홍동234-2
19471,,,중학교,아치 다리 탐구,올레8코스 베릿내 다리,제주 서귀포시 동홍동234-2
19472,,,중학교,찾아가는 실험실,신청 학교,제주 제주시 아라1동 제주대학교
19473,,,중학교,테마실험탐방,",",제주 제주시 아라1동 제주대학교
19474,,,"중학교,유치원,고등학교,초등학교",다문화가정 멘토링제,공주교대(다문화 가정이 있는 신청학교),충남 공주시 봉황동376
19475,,,중학교,아열대 해양생물 캠프,제주대학교 해양과환경연구소(함덕),제주 제주시 아라1동 제주대학교
19476,,,"고등학교,초등학교,중학교,유치원",애니텔링과 히스토리텔링(anitelling 과 historytelling),강원대학교 인문대학,강원 춘천시 효자2동 강원대학교인문복지 아카데미 희망인문학교(인문2호관 106-2호)
19477,,,"중학교,유치원,고등학교,초등학교",영화와 함께 떠나는 세상 여행,강원대학교 인문대학,강원 춘천시 효자2동 강원대학교인문복지 아카데미 희망인문학교(인문2호관 106-2호)
19478,,,"고등학교,초등학교,중학교,유치원",꿈집 만들기,강원대학교 인문대학,강원 춘천시 효자2동 강원대학교인문복지 아카데미 희망인문학교(인문2호관 106-2호)
19479,,,"유치원,초등학교",광주 동구민의 축제에 초대해요,용산체육공원,광주 동구 서석동 동구청서남로 1
19480,,,"고등학교,초등학교,교원,중학교",광주  법원견학 법이로,광주지방법원 내,광주광역시 동구 준법로 7-12
19481,,,"고등학교,초등학교,중학교",박태환을 꿈꾸며,공주대국민체육센터 수영장,충남 공주시 신관동182
19482,,,"중학교,고등학교,초등학교",자원 봉사,복지관 내외,광주 동구 용산동산 3
19483,,,"초등학교,중학교,유치원",한가락 공연 관람,공주교대 한가락 동아리방 113호,충남 공주시 봉황동 공주교육대학교공주교대 동아리 연합회
19484,,,"중학교,고등학교,초등학교",극회느티 연극 관람,공주교대 나동 시청각실,충남 공주시 봉황동 공주교육대학교공주교대 동아리 연합회
19485,,,"초등학교,중학교",힘이 되는 소중한 물자원,충주 다목적댐 및 물문화관,충북 충주시 종민동985-4
19486,,,초등학교,식물 탐험대,공주시 신관동 금강둔치공원 의당면 청룡리,"충남 공주시 의당면목천리, 우성면 청룡리 정안천 일대"
19487,,,초등학교,우리 민속 문화 체험을 떠나요,충주시 가금면 가흥리 750 19 충주민속공예마을협의회,충북 충주시 가금면 가흥리750-19
19488,,,"고등학교,초등학교,중학교",야구 경기 관람하기,무등경기장 야구장,광주 북구 임동316번지
19489,,,"초등학교,중학교",쇠소깍탐사쇠소깍 및 테우의 변천,쇠소깍,제주 서귀포시 하효동995번지 일대
19490,,,"중학교,유치원,고등학교,초등학교",상상과학아카데미 체험관,엑스포과학공원 내 테크노피아관,대전 유성구 도룡동 대전엑스포과학공원 테크노피아관 상상과학아카데미체험관
19491,,,"고등학교,중학교",모형로봇 조립,인천정보산업진흥원 또는 학교 교실,인천 남구 도화1동 인천IT타워인천정보산업진흥원 20층
19492,,,"중학교,고등학교",앤드류는 로봇일까 인간일까 영화 속 생명이야기 ,인천정보산업진흥원 또는 학교 교실,인천 남구 도화1동 인천IT타워인천정보산업진흥원 20층
19493,,,"고등학교,중학교",로봇시대가 열린다,인천정보산업진흥원 또는 학교 교실,인천 남구 도화1동 인천IT타워인천정보산업진흥원 20층
19494,,,"고등학교,초등학교,중학교",오리요리 즐기기,오리요리거리 내 음식점,광주 북구 신안동현대백화점 유동사거리
19495,,,"중학교,유치원,고등학교,초등학교",도서관 활용 교육,광주북구일곡도서관 내,광주 북구 일곡동일곡로 55
19496,,,"고등학교,초등학교,중학교,유치원",관계와 소통   꿈이란 혼자서는 이룰 수 없는 것,강원대학교 인문대학,강원 춘천시 효자2동 강원대학교인문복지 아카데미 희망인문학교(인문2호관 106-2호)
19497,,,"중학교,유치원,고등학교,초등학교",금강둔치공원 현장체험,금강둔치공원,충남 공주시 신관동(금강변 일대)
19498,,,중학교,무역활동으로 이해하는 경제교육의 장,부산 세관박물관 및 강당,부산 중구 중앙동4가 부산본부세관17번지 3층
19499,,,"중학교,고등학교,초등학교",자연과의 만남  강따라 떠나는 여행,충청남도 공주시 반포면 우성면 이인면 탄천면,충남 공주시 반포면반포면 우성면 이인면 탄천면
19500,,,"고등학교,초등학교,중학교",학동 느티나무 답사,학동 느티나무,광주 동구 학동8번지
19501,,,"초등학교,중학교",약사사 체험,약사사,광주 북구 금곡동산 209-5
19502,,,"중학교,고등학교,초등학교",4.3 평화공원 봉사활동 (행불인 표지석 닦기),4.3 평화공원,제주 제주시 봉개동산 51-3 번지 4.3 사업소 (제주시 명림로 430)
19503,,,"고등학교,초등학교,중학교,유치원",전통음악체험,한국전통타악그룹 태극 연습실,강원 춘천시 죽림동189 춘천명동브라운5번가 4-4208
19504,,,"중학교,유치원,고등학교,초등학교",작품 흥미롭게 보기,춘천문화예술회관 전시실,강원 춘천시 효자동산 40-2
19505,,,"초등학교,유치원",효사랑인형극,각급 학교,강원 춘천시 효자1동710-4
19506,,,"초등학교,중학교",식물의 세계에서 발견되는 피보나치 수열,여미지식물원,제주 서귀포시 색달동2920
19507,,,"중학교,초등학교",식물은 수학천재,여미지식물원,제주 서귀포시 색달동2920
19508,,,중학교,주상절리대의 육각기둥,대포 지삿개 주상절리대,기타
19509,,,"초등학교,중학교",신비의 도로 체험하기,신비의 도로,제주 제주시 노형동289-15
19510,,,"중학교,초등학교",하천탐사활동,"예래천, 창고천, 중문천",제주 서귀포시 하예동24-1
19511,,,"중학교,고등학교,초등학교",회덕향교 구조 그리기,학교 및 회덕향교 주변,대전 대덕구 읍내동134
19512,,,"고등학교,초등학교,중학교",나만의 조선시대 관찰사 교지 만들기,박물관 내 정보자료실,충남 공주시 중동284-1
19513,,,"중학교,초등학교",숲 속의 생물 관찰,금강자연휴양림 일원 또는 학교 주변 숲,충남 공주시 반포면 도남리12-2
19514,,,"고등학교,초등학교,중학교,유치원",미술감상의 이해,춘천미술관,강원 춘천시 옥천동73-2
19515,,,"고등학교,초등학교,중학교",쌍청당 단청그리기,학교 및 쌍청당 주변,대전 대덕구 중리동71번지
19516,,,"중학교,고등학교",고인돌 쌓기,학교 및 비래동 고인돌 주변,대전 대덕구 비래동419번지 산12-6
19517,,,"고등학교,초등학교,중학교",4.3 평화기념관 견학,4.3 평화기념관,제주 제주시 봉개동산 51-3 번지 4.3 사업소 (제주시 명림로 430)
19518,,,"고등학교,초등학교,중학교,유치원",제주목관아지 체험하기,제주목관아지,제주 제주시 삼도2동43-3번지
19519,,,"중학교,초등학교",하도리 철새도래지 철새 관찰,제주시 구좌읍 하도리 창흥동 양어장,제주 제주시 구좌읍 하도리창흥동
19520,,,"초등학교,중학교",산방산의 식물,서귀포시 안덕면 사계리 산 16번지 일대,제주 서귀포시 안덕면 사계리산 16번지
19521,,,"중학교,초등학교",산방산의 지형,서귀포시 안덕면 사계리 산 16번지 일대,제주 서귀포시 안덕면 사계리산 16번지
19522,,,중학교,산방산 조사,서귀포시 안덕면 사계리 산 16번지 일대,제주 서귀포시 안덕면 사계리산 16번지
19523,,,"고등학교,초등학교,중학교,유치원",고려시대 불교 기행,불탑사,제주 제주시 삼양1동696
19524,,,"중학교,초등학교",성산 일출봉의 지질 조사,서귀포시 성산읍 성산리 산 1번지,제주 서귀포시 성산읍 성산리산 1번지
19525,,,"고등학교,초등학교,중학교",북촌리 평화 올레길 걷기,북촌리 마을 일대,제주 제주시 조천읍 북촌리1599
19526,,,"중학교,고등학교,초등학교",문화재 관람 프로그램,숭현서원,대전 유성구 원촌동산35-1
19527,,,"초등학교,중학교",비자나무 자생지 생태조사,제주시 구좌읍 평대리 3164 1,제주 제주시 구좌읍 평대리3164-1
19528,,,"중학교,고등학교,초등학교",북촌리와 4.3,북촌리 너븐숭이 기념관 일대,제주 제주시 조천읍 북촌리1599
19529,,,"초등학교,중학교",천제연 난대림 생태 조사,서귀포시 중문동 천제연,제주 서귀포시 중문동2785
19530,,,"중학교,고등학교,초등학교",전통 시장 체험활동,유성 5일장,대전 유성구 봉명동일대
19531,,,"초등학교,중학교",안덕계곡 상록수림 생태 조사,서귀포시 안덕면 감산리 345,제주 서귀포시 안덕면 감산리345
19532,,,"중학교,초등학교",서귀포층 패류화석 조사,서귀포시 서홍동 707번지,제주 서귀포시 서홍동707-31
19533,,,"중학교,초등학교",풍암정 견학하기,풍암정,광주 북구 충효동718
19534,,,"초등학교,중학교",연화못에 서식하는 동물 조사,제주시 애월읍 하가리 연화못,제주 제주시 애월읍 하가리1569-2
19535,,,"중학교,초등학교",하도리 문주란 자생지 생태 조사,제주시 구좌읍 하도리 토끼섬,제주 제주시 구좌읍 하도리산 85번지
19536,,,"초등학교,중학교",신례리 왕벗나무 자생지 조사 활동,서귀포시 암원읍 신례리 산 2 1번지,제주 서귀포시 남원읍 신례리산2-1
19537,,,"중학교,초등학교",한라생태숲의 양서류 조사,한라생태숲,기타
19538,,,"고등학교,초등학교,중학교,유치원",광주호 호수생태원 체험,광주호 호수생태원,광주 북구 충효동광주호 생태공원
19539,,,"고등학교,초등학교,중학교",존자암지 답사,존자암지,제주 서귀포시 하원동산 1-1
19540,,,"중학교,초등학교",물영아리습지 조사하기,물영아리습지,제주 서귀포시 남원읍 수망리산188
19541,,,"초등학교,중학교",람사협약 물영아리 습지,물영아리,제주 서귀포시 남원읍 수망리산188
19542,,,"중학교,초등학교",만장굴의 형성과정 알아보기,만장굴,제주 제주시 구좌읍 김녕리3341-3
19543,,,"초등학교,중학교",세계자연유산 만장굴,만장굴,제주 제주시 구좌읍 김녕리3341-3
19544,,,"중학교,고등학교",군부대 주둔지 생태계 복원 현장,무등산 군복원지 일원,광주 동구 운림동산 209-5번지
19545,,,"중학교,초등학교",녹나무자생지 조사,도순동 녹나무 자생지,제주 서귀포시 도순동210
19546,,,"중학교,고등학교,초등학교",숲 체험활동,"청풍쉼터, 충장사",광주 동구 운림동산 209-5번지
19547,,,"초등학교,중학교",동백동산의 양서류,동백동산 습지,제주 제주시 조천읍 선흘리산12
19548,,,"중학교,고등학교,초등학교",무등산 옛길 1구간,무등산 옛길 구간,광주 동구 운림동산 209-5번지
19549,,,"고등학교,초등학교,중학교",동백동산 난대림 조사,동백동산,제주 제주시 조천읍 선흘리산12
19550,,,고등학교,광주디지털컨버젼스센터 견학,전자부품연구원 광주디지털컨버젼스센터,광주 북구 오룡동11100-1
19551,,,"초등학교,중학교",용수리 철새도래지를 찾아서,서부저수지,제주 제주시 한경면 용수리0
19552,,,"중학교,초등학교",천지연난대림 조사,천지연계곡,제주 서귀포시 서홍동666-1
19553,,,"초등학교,중학교",천지연폭포 알아보기,천지연포포,제주 서귀포시 서홍동666-1
19554,,,"중학교,초등학교",천지연폭포를 찾아서,천지연계곡,제주 서귀포시 서홍동666-1
19555,,,"고등학교,초등학교,중학교",다산의 자취를 찾아서,"다산유적지, 실학박물관",경기 남양주시 조안면 능내리산75-1
19556,,,"중학교,유치원,고등학교,초등학교","조선왕조의 숨결이 살아있는 동구릉의 역사속으로 GO, GO",세계문화유산 조선왕릉 동구릉,경기 구리시 인창동66번지
19557,,,"고등학교,초등학교,중학교",연북정 답사,연북정,제주 제주시 조천읍 조천리2690번지
19558,,,"고등학교,초등학교,중학교",남생이못에 살고있는 동물,남생이못,제주 제주시 조천읍 신촌리0
19559,,,"중학교,고등학교,초등학교",남생이못의 습지식물,남생이못,제주 제주시 조천읍 신촌리0
19560,,,"초등학교,중학교",마을의 수호목 곰솔,제주 제주시 애월읍 수산리,제주 제주시 애월읍 수산리2274
19561,,,"교원,중학교,유치원,고등학교,초등학교",경기  고양국제꽃박람회  2020고양국제꽃박람회,고양국제꽃박람회,경기도 고양시 일산동구 호수로 595
19562,,,"고등학교,초등학교,중학교",한국폴리텍V대학(광주캠퍼스) 견학,한국폴리텍V대학 광주캠퍼스,광주 북구 운암동산58-1
19563,,,"중학교,유치원,고등학교,초등학교",충장사,충장사,광주 북구 금곡동1023
19564,,,"초등학교,중학교",1박 2일 야영,청풍학생야영장,광주 북구 청풍동498
19565,,,중학교,옥천의 부소무니선경,옥천의 추소리,충북 옥천군 군북면 추소리1
19566,,,"고등학교,초등학교,중학교","철도 관련, 전기신호 통신 등 체험",의왕시 철도박물관,경기 의왕시 월암동374-1
19567,,,"교원,중학교,고등학교,초등학교",경기  당동청소년문화의집  문화예술아카데미,당동청소년문화의집,경기 군포시 당산로 76
19568,,,"중학교,고등학교,초등학교",군포청소년수련관 문화아카데미 (로봇영재 학교),군포청소년수련관,경기 군포시 금정동847-3
19569,,,중학교,깨끗하고 아름답게 청소하기,공주문예회관,충남 공주시 웅진동283
19570,,,"고등학교,초등학교,중학교,유치원",정화원 봉사,정화원 실내외,대전 대덕구 대화동39-1
19571,,,초등학교,체험 박물관 학교,공주교육대학교 박물관 내 부속시설,충남 공주시 봉황동 공주교육대학교공주교육대학교 박물관
19572,,,"고등학교,초등학교",식물나라 여행,공주시 사곡면 화월리 엔젤 농촌교육장,충남 공주시 사곡면 화월리엔젤 농촌교육 농장
19573,,,"고등학교,초등학교,중학교,유치원","물사랑 글짓기, 표어, 포스터 그리기 대회",군포시수도사업소,경기 군포시 산본동485-6
19574,,,"중학교,초등학교",가능 프로그램,누리천문대,기타
19575,,,"고등학교,초등학교,중학교,유치원",운림동석실고분 탐방,운림동석실고분,광주 동구 운림동산 18
19576,,,"중학교,고등학교",사랑실천 봉사활동,평안전문요양원,제주 서귀포시 토평동1702
19577,,,"고등학교,중학교",광주천 걷기 대회,원지교 아래 광주천,광주 동구 용연동용연정수장  서구 유덕동 영산강 합류점
19578,,,"중학교,고등학교,초등학교",화류소목장 조기종 초청 강의,미정,광주 동구 소태동120
19579,,,"고등학교,초등학교,중학교",봉사단체 및 캠페인 선택 활동,선택한 단체 및 캠페인,광주 북구 문흥동1009-1
19580,,,"중학교,유치원,고등학교,초등학교",광주시립민속박물관 야외 전시장 관람,광주시립민속박물관 야외 전시장,광주 북구 용봉동1004-4
19581,,,"중학교,유치원,고등학교,초등학교",광주시립민속박물관 관람,광주시립민속박물관,광주 북구 용봉동1004-4
19582,,,"고등학교,초등학교,중학교",환벽당 관람하기,환벽당,광주 북구 충효동387
19583,,,"중학교,유치원,고등학교,초등학교",녹색에너지 체험관 야외 체험,"야외학습장, 학습관, LED체험홍보관",광주 북구 오룡동1번지
19584,,,초등학교,광주천 어린이 생태문화학교,광주천 일대,광주 북구 북동 236-2
19585,,,"고등학교,초등학교,중학교",신나는 베이킹교실(방학),지역아동센터 및 방과후 수업 프로그램 편성가능한 단체,대전 서구 가수원동815-2 1층 케익아트
19586,,,"중학교,고등학교,초등학교",신나는 베이킹교실,지역아동센터 및 방과후 수업 프로그램 편성가능한 단체,대전 서구 가수원동815-2 1층 케익아트
19587,,,"중학교,고등학교,초등학교",자연환경의 우수성과 과학으로의 산책,계룡산 자연사박물관,충남 공주시 반포면 학봉리511-1
19588,,,"중학교,고등학교,초등학교",신나는 자연속 체험,한국 공연예술 체험마을,충남 공주시 유구읍 입석리404
19589,,,"고등학교,초등학교,중학교,유치원",별자리 및 천체관측,경기도 양평군 옥천면 용천리 양평 국제 천문대,경기 양평군 옥천면 용천리산 29-10
19590,,,"중학교,고등학교,초등학교",장애인 인식개선교육(장애체험 프로그램),학교강당,광주 북구 동림동24번지
19591,,,"고등학교,초등학교,중학교",장애인 인식개선교육(이론교육),학교강당,광주 북구 동림동24번지
19592,,,"중학교,고등학교,초등학교",도자기체험을 통한 철화분청사기 (鐵畵粉靑沙器) 홍보자료 만들기,학봉리 도예촌,"충남 공주시 반포면 학봉리산 22-1(도요지), 도예촌  충남 공주시 반포면 상신리 555-2 "
19593,,,"중학교,고등학교",  태화강십리대밭  의 역사와 문화 기행 체험,태화강변십리대밭숲 ,울산 중구 태화동 969-12
19594,,,"고등학교,중학교",언양읍성 체험과 복원 활동,언양읍성,울산 울주군 언양읍 동부리일원
19595,,,"중학교,고등학교,초등학교",탐사 선학리 5도 2촌 마을,선학리 마을 광장,충남 공주시 신풍면 선학리422
19596,,,초등학교,팔각정에서 광주 시내 조망,향로봉 정상의 팔각정,광주 동구 지산동 산 40번지
19597,,,"고등학교,초등학교,중학교",무등산 수박마을 관람하기,무등산 수박마을 체험장 일대,광주 북구 금곡동272-1
19598,,,"중학교,고등학교",울산  울산의 대동맥 태화강,태화강변 일대 ,울산광역시 중구 신기길 태화강
19599,,,"고등학교,초등학교,중학교",일곡지구 탐방(일곡근린공원),일곡근린공원,광주 북구 일곡동848-2
19600,,,초등학교,친구들과 함께 하는 재롱 잔치,북구노인종합복지관,광주 북구 두암동456-9
19601,,,"고등학교,초등학교,중학교",삼각산 자연 탐사(여물봉),삼각산 여물봉,광주 북구 문흥동498번지
19602,,,"중학교,고등학교",울산문화예술회관  문화와 감상이 있는 문화예술회관을 찾아서,울산문화예술회관,울산 남구 달동 울산문화예술회관남구 번영로 200
19603,,,"고등학교,초등학교,교원,중학교,유치원",경기  KBS수원아트홀  공연안내,KBS수원아트홀,경기도 수원시 팔달구 인계동 468번지 KBS드라마센터
19604,,,"중학교,유치원,초등학교",망우리 묘지공원 탐방,망우리 묘지 공원,경기 구리시 교문동망우산주변
19605,,,"고등학교,중학교",노강 서원,"회룡사, 백범사",경기 의정부시 장암동197번지
19606,,,중학교,성지순례를 통한 종교 들여다보기Ⅱ,삼막사,경기 안양시 만안구 석수동241-54
19607,,,"중학교,유치원,고등학교,초등학교",장떡 빚는 마음,공주시 이인면 초봉리,충남 공주시 이인면 초봉리장 익는 마을
19608,,,"고등학교,초등학교,중학교,유치원",5도 2촌 즐기기,충남 공주시 우성면 한천리 137 1,충남 공주시 우성면 봉현리241-2
19609,,,초등학교,나는 자전거 운전자격증 이 있어요.,어린이 교통공원 내 실습장,충남 공주시 우성면 도천리34-6
19610,,,"초등학교,유치원",시인과 함께 하는 동시 여행,.,강원 춘천시 석사동 대우아파트107동 1402호
19611,,,초등학교,5 18 추모관 관람,5 18 추모관,광주 북구 운정동산 34-1번지(민주로 136번지)
19612,,,"고등학교,초등학교,중학교",한지로 생활 소품 만들기,기타,강원 춘천시 온의동 금호아파트4동 903호
19613,,,초등학교,동화 구연/ 스피치 교실,교실,강원 춘천시 석사동762-7 204호
19614,,,"고등학교,초등학교,중학교,유치원",국립5 18민주묘지 참배 및 관람,국립5 18민주묘지 내,광주 북구 운정동산 34-1번지(민주로 136번지)
19615,,,"교원,중학교,유치원,고등학교,초등학교","경기  한국등잔박물관  역사 이전, 역사를 말하다",한국등잔박물관,경기도 용인시 처인구 모현읍 능곡로 56번길 8
19616,,,"고등학교,초등학교,중학교,유치원",5도 2촌 즐기기,충남 공주시 우성면 반촌리 359,충남 공주시 우성면 반촌리359
19617,,,"중학교,유치원,고등학교,초등학교",5도 2촌 즐기기,충남 공주시 우성면 한천리 137 1,충남 공주시 우성면 한천리137-1
19618,,,"고등학교,초등학교,중학교,유치원",자연과 하나 되기,수리산 산림욕장,경기 군포시 산본동산18-3외 39필지(용진사입구-수리약수터입구)
19619,,,"중학교,유치원,고등학교,초등학교",자연생태계와 테마별 체험,수리산 산림욕장,경기 군포시 산본동산18-3외 39필지(용진사입구-수리약수터입구)
19620,,,"고등학교,초등학교,중학교,유치원",맛있는 김치담그기,공주시 신풍면 대룡 1리 공주자연공예체험관,충남 공주시 신풍면 대룡리무르실 고추 마을
19621,,,초등학교,광주교육대학교 교육박물관 견학하기,광주교육대학교 교육박물관,광주 북구 풍향동 광주교육대학교1-1번지
19622,,,"중학교,유치원,고등학교,초등학교",민속촌에서 하루,한국민속촌,경기 용인시 기흥구 보라동 한국민속촌107번지
19623,,,"초등학교,중학교",향교 순례,(미정),경기 김포시 북변동371-1
19624,,,중학교,단오의 민속놀이 체험,평촌중앙공원 ,경기 안양시 동안구 평안동안양시 동안구 평안동 895번지
19625,,,중학교,안양의 이모저모 알기,안양역사정보관,경기 안양시 동안구 관양동시민대로 235
19626,,,"중학교,고등학교,초등학교",우저서원과 주변관찰,경기도 김포시 감정동 492 우저서원 일대,경기 김포시 감정동492
19627,,,"고등학교,초등학교,중학교",문수산성 탐방기 쓰기,문수산성 및 교실,경기 김포시 월곶면 성동리포내리 일원
19628,,,"중학교,유치원,고등학교,초등학교",문수산성 탐방,문수산성,경기 김포시 월곶면 성동리포내리 일원
19629,,,"초등학교,유치원",들국화 축제,평강식물원 내,경기 포천시 영북면 산정리668번지
19630,,,중학교,평화통일 체험 및 견학 소감문 쓰기,경기도 연천군 중면 횡산리,경기 연천군 연천읍 차탄리태풍전망대
19631,,,"중학교,고등학교,초등학교",소요산 야영 활동,소요산 내 야영장 ,경기 동두천시 상봉암동소요산
19632,,,"고등학교,초등학교,중학교,유치원",단풍 속으로 풍덩,소요산 및 학교 ,경기 동두천시 상봉암동소요산
19633,,,중학교,"연천 상승 OP, 제1땅굴",경기 연천군 백학면,경기 연천군 백학면상승OP 1땅굴
19634,,,"중학교,유치원,초등학교",한탄강 일대 관광 소감문 작성,연천군 전곡리 한탄강 일대,경기 연천군 전곡읍 전곡리640
19635,,,"초등학교,중학교",평택항 홍보대사 되어보기,평택항 홍보관 내 전망대,경기 평택시 포승읍 만호리589 평택항 홍보관
19636,,,"고등학교,초등학교,중학교,유치원",문화 예술 일일 체험학습,웃다리 문화촌 내,경기 평택시 서탄면 금각리286-4
19637,,,"중학교,고등학교,초등학교",노인복지관 봉사활동 및 노령화시대의 문제점과 대안 찾기,여주군 노인복지관,경기 여주군 여주읍 상리351-4
19638,,,"고등학교,초등학교,중학교,유치원",길동무와 함께 하는 둘레길 체험,구리시 장자못 호수공원,경기 구리시 토평동878
19639,,,"중학교,고등학교",자원봉사활동,삼육재활원,경기 광주시 초월읍 지월리729-6
19640,,,"교원,중학교,유치원,고등학교,초등학교",경기  시흥시청  소래산망주,시흥시청,경기 시흥시 대야동 140-3번지
19641,,,"고등학교,초등학교,중학교,유치원",나는 친환경 농부,평택채소마을,경기 평택시 진위면 하북리평택채소마을
19642,,,"중학교,초등학교",명성황후 시해사건에 대해 알기,명성황후 생가 일대,경기 여주군 여주읍 능현리250-2
19643,,,"고등학교,초등학교,중학교,유치원",민속신앙 산신제 시연 관람 및 답사,",",경기 군포시 산본동양지공원
19644,,,"중학교,고등학교,초등학교",설화 속 상상답사 내가 찾는 전통 가옥의 아름다움,대야미 마을 내 정난종 고택 ,경기 군포시 대야미동609번지 군포IC맞은편
19645,,,"초등학교,유치원",수원화성박물관 체험활동 메이킹북 만들기,수원 화성박물관 상설 체험실 (정기교육실) ,경기 수원시 팔달구 매향동49번지
19646,,,"중학교,초등학교",물 체험마당,군포 수도사업소 내,경기 군포시 산본동485-6 (수리산길 66)
19647,,,초등학교,고구려의 힘찬 기상을 찾아 떠나요.,아차산 보루군,경기 구리시 아천동아차산 보루
19648,,,"교원,중학교,유치원,고등학교,초등학교",경기  세종대왕유적관리소  이야기가 있는 음악회,세종대왕유적관리소,경기도 여주시 능서면 영릉로 269-10
19649,,,"중학교,유치원,고등학교,초등학교",우주의 별들이 내 손안에,어린이천문대,경기 고양시 일산동 성석동933-1
19650,,,"고등학교,초등학교,중학교,유치원",경기  내 몸은 소중해요,인체과학박물관 (한생연),경기도 고양시 일산서구 중앙로 1576
19651,,,"중학교,고등학교,초등학교",정도전 선생과 조선의 건국/ 조선 유학의 가르침,정도전 선생 사당,경기 평택시 진위면 은산리189
19652,,,"초등학교,중학교","선사시대 역사,생활 신문 만들기","상설전시관, 교육실",경기 용인시 기흥구 상갈동85번지
19653,,,"중학교,유치원,고등학교,초등학교",금강둔치공원을 설계해 보자,금강둔치공원,충남 공주시 신관동금강둔치공원
19654,,,"고등학교,초등학교,중학교",구시울마을 축제 체험하기,충청남도 공주시 반포면 온천1리 46 1,충남 공주시 반포면 온천리46-1
19655,,,초등학교,물박물관 견학 체험학습 후 토론학습,물박물관/까치울 정수장,경기 부천시 오정구 작동산 60-8
19656,,,초등학교,"홍보실, 중앙통제실, 처리장 시설 견학 프로그램",부천시 하수정화살업소(북부 수자원 생태공원),경기 부천시 오정구 대장동434번지
19657,,,초등학교,부천시 폐기물종합처리장 체험학습 보고서 작성,부천시폐기물종합처리장,경기 부천시 오정구 대장동607번지
19658,,,"유치원,초등학교",힘을 하나로 모으면(가족체험 활동),야외 또는 각 가정,경기 부천시 원미구 춘의동381번지
19659,,,"고등학교,초등학교,중학교",굴포천의 서식 동물과 식물도감 만들기,인천시 계양구 굴포천,기타
19660,,,"고등학교,초등학교,중학교",닥종이 인형 만들기,만화규장각 제1교육실,경기 부천시 원미구 상동529-2번지
19661,,,"중학교,유치원,고등학교,초등학교","철도 관련, 전기과8228신호과8228통신 등 체험",의왕시 철도박물관,경기 의왕시 월암동374-1
19662,,,"중학교,유치원,초등학교",의왕시 자연학습공원,"자연 학습공원, 왕송 호수 일원",경기 의왕시 월암동543-3
19663,,,"고등학교,초등학교,중학교","작은 영화에 담은 나, 너 그리고 우리","학교,넓은 공간",경기 부천시 원미구 상동529-2 한국만화영상진흥원 1층 영화제사무국
19664,,,"중학교,유치원,고등학교,초등학교",광교산 등산 활동,광교산,경기 수원시 장안구 조원동775번지 종합운동장내 161-3호
19665,,,"초등학교,중학교",수학 과학 체험교실,경기도과학교육원,경기 수원시 장안구 송죽동68번지
19666,,,"중학교,유치원,고등학교,초등학교",안산의 전통문화 체험,박물관 1층 야외전시 공간,경기 안산시 상록구 사1동1586-1
19667,,,"고등학교,초등학교,중학교",요술마법 암석,"울산 삼남면 가천리 산4번지, 과학실, 교실",울산 울주군 삼남면 가천리산 4번지
19668,,,"고등학교,초등학교,중학교",우리는 다문화 이웃사촌,울산 남구 옥동 가족문화센터 A동 3층,울산 중구 태화동412-8(울산 중구 신기 16길 7호)
19669,,,"중학교,고등학교",고난과 시련의 역사 속으로,부산 근대역사관,부산 중구 대청동2가24-2
19670,,,"고등학교,중학교",부산국제영화제 작품 감상평 쓰기,남포동 피프 광장,부산 해운대구 우1동 요트경기장1393 부대건물 2-1
19671,,,"중학교,고등학교",꿈의 낙조 분수를 담아라,다대포 해수욕장 꿈의 낙조 분수,부산 사하구 다대1동482-3
