구분,모집시작,모집마감,체험 대상,창의적 체험활동 제목,창의적 체험활동 장소,주소
1380,2019-08-27,2019-09-04,고등학교,경기  시흥시청소년수련관  전문봉사동아리 아띠나누미,시흥시청소년수련관,경기 시흥시 대야동571-2
1381,2019-08-27,2019-09-02,유치원,서울 약수도서관  엄마랑 나랑,약수도서관,서울특별시 동작구 양녕로 22바길 64
1382,2019-08-26,2019-09-18,초등학교,서울  도봉문화정보도서관  함께 그린 그림책,도봉문화정보도서관,서울시 도봉구 덕릉로 315
1383,2019-08-26,2019-09-11,교원,경기  와부도서관  이희영 작가와의 만남,남양주시 와부도서관,경기도 남양주시 와부읍 월문천로 43
1384,2019-08-26,2019-09-11,초등학교,경기  와부도서관  윤진현 작가와의 만남,남양주시 와부도서관,경기도 남양주시 와부읍 월문천로 43
1385,2019-08-26,2019-09-06,교원,전남  장성군건강가정다문화가족지원센터  찾아가는 가족의사소통,북이면행정복지센터 회의실(2층),전라남도 장성군 충무5길 24
1386,2019-08-26,2019-09-03,"고등학교,초등학교,교원,중학교",서울  행정안전부  지진 안전 국제 세미나,행정안전부,세종특별자치시 정부2청사로 13
1387,2019-08-26,2019-09-03,중학교,울산  울주중부청소년수련관  다이나믹 드론 레이싱,"울주중부청소년수련관 1층 다목적실, 쇼윙드론 교육원",울산 울주군 범서읍 구영로 101-20
1388,2019-08-26,2019-09-01,"중학교,유치원,교원,고등학교,초등학교",대구  아양아트센터  팔공산예술인회 초대전,아양아트센터,대구 동구 효동로2길 24
1389,2019-08-26,2019-08-31,"고등학교,초등학교,교원,중학교,유치원",대구  서구문화회관  조선팔도 樂 공감콘서트,서구문화회관,대구 서구 당산로 403
1390,2019-08-26,2019-08-30,초등학교,충남  국립공주박물관  우리가족전통공예교실,국립공주박물관 세미나실,충남 공주시 관광단지길34
1391,2019-08-25,2019-11-10,"고등학교,초등학교,중학교",인천  인천어린이과학관  유아미술과학교실,인천어린이과학관,인천광역시 계양구 방축로 21(방축동 108-1)
1392,2019-08-25,2019-09-08,"중학교,유치원,고등학교,초등학교",서울  조선일보미술관  회화의 사계절,조선일보 미술관 ,서울 중구 세종대로21길 33
1393,2019-08-25,2019-08-31,초등학교,서울  대방어린이도서관  발레가 뭐예요,대방어린이도서관,서울특별시 동작구 대방동길 55
1394,2019-08-24,2019-11-29,초등학교,"서울  송파책박물관  비밀의 서재, 할아버지의 책을 찾아라",송파책박물관,서울 송파구 송파대로37길 77
1395,2019-08-24,2019-11-29,유치원,"서울  송파책박물관  반짝반짝, 동그라미 책",송파책박물관,서울 송파구 송파대로37길 77
1396,2019-08-24,2019-11-29,초등학교,서울  송파책박물관  조선의 세책점으로 오세요,송파책박물관,서울 송파구 송파대로37길 77
1397,2019-08-24,2019-10-26,"유치원,초등학교","경기  경기도어린이박물관  가오리야, 바람 타고 날 길 바라",경기도어린이박묾관,경기도 용인시 기흥구 상갈로 6
1398,2019-08-24,2019-09-30,"중학교,고등학교,초등학교",경기  영집궁시박물관  파주 평화를 벼리다,영집궁시박물관,경기도 파주시 탄현면 국원말길 168
1399,2019-08-24,2019-09-21,"유치원,초등학교",서울  다울작은도서관  토끼 1인극 공연,다울작은도서관,서울특별시 동작구 사당로20길 132
1400,2019-08-24,2019-09-15,교원,서울  다울작은도서관  어린이책으로 찾는 인권감수성,다울작은도서관,서울특별시 동작구 사당로20길 132
1401,2019-08-24,2019-09-14,고등학교,"서울  다울작은도서관  금서, 시대를 읽다",다울작은도서관,서울특별시 동작구 사당로20길 132
1402,2019-08-24,2019-09-06,유치원,서울  다울작은도서관  빛그림 공연,다울작은도서관,서울특별시 동작구 사당로20길 132
1403,2019-08-24,2019-08-29,"고등학교,초등학교",전북  완주문화의집  3기 정규강좌 프로그램,완주문화의집,전북 완주군 삼례읍 삼례역로 15
1404,2019-08-24,2019-08-25,"고등학교,초등학교,교원,중학교,유치원",대구  두류공원  대구국제바디페인팅페스티벌,두류공원 코오롱야외음악당,대구 달서구 공원순환로 36
1405,2019-08-24,2019-08-24,"고등학교,초등학교,중학교,유치원,교원",충남  당진청소년문화의집  당진시청소년어울림마당 3차 Teens Festival,당진청소년문화의집,충남 당진시 무수동7길 142-26
